step,g_front_min,g_rear_min,g_required,g_lead,g_follow,g_available,feasible
700,9,72.6,58.2,135.9,236.0,55.5,698.6,False
700,10,53.4,44.0,102.3,122.7,117.3,749.9,True
700,11,80.4,58.2,143.6,15.3,276.1,698.6,False
700,12,48.6,44.0,97.6,58.1,54.3,877.7,True
700,13,80.4,58.2,143.6,85.8,205.7,698.6,True
700,14,44.0,152.4,201.3,184.6,217.9,587.5,True
700,0,25.7,378.8,409.5,28.6,55.9,905.5,False
700,1,76.9,22.2,104.1,12.7,94.2,883.2,False
700,2,207.4,20.4,232.9,27.2,66.2,896.6,False
700,3,289.6,24.3,318.9,58.9,23.3,907.8,False
700,4,24.7,36.6,66.2,2.9,232.1,755.0,False
700,5,235.1,25.7,265.7,30.6,28.6,930.8,False
700,6,61.2,101.3,167.5,80.3,12.7,897.0,False
700,7,11.0,63.4,79.4,31.7,212.9,745.4,True
700,8,13.8,86.0,104.8,154.7,80.3,755.0,False
700,9,22.2,326.9,354.1,94.2,27.2,868.7,False
700,10,20.4,469.6,495.1,66.2,58.9,864.9,False
700,11,24.3,400.6,429.9,23.3,96.4,870.3,False
700,12,239.6,24.7,269.3,205.0,2.9,782.1,False
700,13,26.1,371.5,402.7,89.1,30.6,870.3,False
700,14,239.1,51.4,295.5,55.9,241.7,692.4,False
800,0,64.5,64.4,133.9,59.2,0.6,930.2,False
800,1,64.5,64.5,134.0,257.5,61.6,670.8,False
800,2,64.5,64.5,134.0,61.6,158.2,770.1,False
800,3,64.5,64.5,134.0,154.5,65.4,770.1,True
800,4,64.5,64.5,134.0,158.2,1.2,830.5,False
800,5,64.5,64.5,134.0,70.7,995.8,923.5,True
800,6,64.5,64.5,134.0,1.2,59.2,929.6,False
800,7,64.5,64.5,134.0,70.1,133.7,786.2,True
800,8,64.5,64.5,134.0,58.2,68.9,862.9,False
800,9,64.5,64.5,134.0,70.5,58.2,861.3,False
800,10,64.5,64.5,134.0,68.9,140.5,780.6,True
800,11,64.4,64.5,133.9,0.6,65.1,924.3,False
800,12,64.5,64.5,134.0,68.0,67.6,854.5,True
800,13,64.5,64.5,134.0,65.9,145.6,778.5,True
800,14,64.5,64.5,134.0,277.6,251.6,460.8,True
800,0,4.5,74.7,84.2,164.7,89.8,735.5,True
800,1,24.4,176.6,206.0,85.3,55.0,849.7,False
800,2,31.7,64.3,101.0,17.7,84.5,887.8,False
800,3,40.7,42.4,88.1,97.9,4.4,887.8,False
800,4,49.4,266.5,320.9,48.0,156.3,785.6,False
800,5,61.4,28.7,95.1,67.2,33.3,889.5,True
800,6,88.2,24.4,117.6,12.1,85.3,892.6,False
800,7,23.4,11.1,39.5,198.3,95.0,696.6,True
800,8,143.0,113.0,260.9,192.3,12.1,785.6,False
800,9,120.0,31.7,156.7,55.0,17.7,917.3,False
800,10,42.2,169.7,216.9,4.4,153.6,832.1,False
800,11,28.7,331.2,364.9,114.9,43.1,832.1,False
800,12,16.2,68.5,89.7,189.9,48.0,752.1,False
800,13,15.7,4.5,25.2,56.2,103.5,830.3,True
800,14,212.6,20.6,238.3,43.1,259.5,687.4,False
0,0,4.5,4.5,14.0,605.0,25.0,360.0,True
0,1,4.5,4.5,14.0,25.0,25.0,940.0,True
0,2,4.5,4.5,14.0,25.0,25.0,940.0,True
0,3,4.5,4.5,14.0,25.0,25.0,940.0,True
0,4,4.5,4.5,14.0,25.0,25.0,940.0,True
0,5,4.5,4.5,14.0,25.0,25.0,940.0,True
0,6,4.5,4.5,14.0,25.0,25.0,940.0,True
0,7,4.5,4.5,14.0,25.0,25.0,940.0,True
0,8,4.5,4.5,14.0,25.0,25.0,940.0,True
0,9,4.5,4.5,14.0,25.0,25.0,940.0,True
0,10,4.5,4.5,14.0,25.0,25.0,940.0,True
0,11,4.5,4.5,14.0,25.0,25.0,940.0,True
0,12,4.5,4.5,14.0,25.0,25.0,940.0,True
0,13,4.5,4.5,14.0,25.0,25.0,940.0,True
0,14,4.5,4.5,14.0,25.0,605.0,360.0,True
0,0,4.5,4.5,14.0,605.0,25.0,360.0,True
0,1,4.5,4.5,14.0,25.0,25.0,940.0,True
0,2,4.5,4.5,14.0,25.0,25.0,940.0,True
0,3,4.5,4.5,14.0,25.0,25.0,940.0,True
0,4,4.5,4.5,14.0,25.0,25.0,940.0,True
0,5,4.5,4.5,14.0,25.0,25.0,940.0,True
0,6,4.5,4.5,14.0,25.0,25.0,940.0,True
0,7,4.5,4.5,14.0,25.0,25.0,940.0,True
0,8,4.5,4.5,14.0,25.0,25.0,940.0,True
0,9,4.5,4.5,14.0,25.0,25.0,940.0,True
0,10,4.5,4.5,14.0,25.0,25.0,940.0,True
0,11,4.5,4.5,14.0,25.0,25.0,940.0,True
0,12,4.5,4.5,14.0,25.0,25.0,940.0,True
0,13,4.5,4.5,14.0,25.0,25.0,940.0,True
0,14,4.5,4.5,14.0,25.0,605.0,360.0,True
100,0,31.1,31.1,67.2,605.0,25.0,360.0,False
100,1,31.1,31.5,67.6,25.0,25.0,940.0,False
100,2,31.5,31.5,68.0,25.0,25.0,940.0,False
100,3,31.5,31.5,68.0,25.0,25.0,940.0,False
100,4,31.5,31.5,68.0,25.0,25.0,940.0,False
100,5,31.5,31.5,68.0,25.0,25.0,940.0,False
100,6,31.5,31.5,68.0,25.0,25.0,940.0,False
100,7,31.5,31.5,68.0,25.0,25.0,940.0,False
100,8,31.5,31.5,68.0,25.0,25.0,940.0,False
100,9,31.5,31.5,68.0,25.0,25.0,940.0,False
100,10,31.5,31.5,68.0,25.0,25.0,940.0,False
100,11,31.5,31.5,68.0,25.0,25.0,940.0,False
100,12,31.5,31.5,68.0,25.0,25.0,940.0,False
100,13,31.5,31.5,68.0,25.0,25.0,940.0,False
100,14,31.5,31.1,67.6,25.0,605.0,360.0,False
100,0,112.8,31.1,148.9,551.0,25.0,414.0,False
100,1,31.1,26.6,62.7,25.0,42.3,922.7,False
100,2,26.6,26.5,58.1,42.3,25.2,922.5,False
100,3,26.5,22.5,54.0,25.2,37.2,927.6,False
100,4,22.5,21.6,49.0,37.2,26.4,926.4,True
100,5,21.6,20.0,46.6,26.4,30.2,933.5,True
100,6,20.0,16.7,41.7,30.2,29.6,930.2,True
100,7,16.7,22.3,44.0,29.6,20.4,940.0,False
100,8,21.3,12.2,38.5,20.4,36.1,933.5,False
100,9,12.2,44.4,61.6,36.1,7.3,946.5,False
100,10,34.7,8.3,47.9,7.3,46.7,936.0,False
100,11,8.3,90.1,103.4,998.8,36.3,955.0,False
100,12,44.5,8.3,57.7,55.3,998.8,936.0,True
100,13,4.5,178.2,187.7,16.3,551.0,422.7,True
100,14,61.6,4.5,71.1,36.3,16.3,937.4,False
200,0,34.5,34.5,74.0,642.1,25.0,322.9,False
200,1,34.5,34.5,74.0,25.0,14.8,950.2,False
200,2,34.5,34.5,74.0,14.8,25.0,950.2,False
200,3,34.5,36.0,75.5,25.0,15.0,950.0,False
200,4,35.8,35.7,76.5,15.0,25.0,950.0,False
200,5,35.7,41.0,81.7,25.0,16.9,948.1,False
200,6,40.1,38.9,83.9,16.9,25.0,948.1,False
200,7,38.9,46.3,90.1,25.0,19.8,945.2,False
200,8,44.8,42.9,92.6,19.8,25.0,945.2,False
200,9,42.9,48.2,96.1,25.0,22.4,942.6,False
